,latitude,longitude,zip,po
111,40.7777,-73.9883,10069,New York
112,40.8034,-73.9661,10025,New York
113,40.7133,-73.9395,11211,Brooklyn
114,40.8678,-73.9251,10034,New York
115,40.7592,-73.9903,10018,New York
116,40.7779,-73.9525,10028,New York
117,40.7064,-74.01,10271,New York
118,40.7108,-73.9878,10002,New York
119,40.7856,-73.9794,10023,New York
120,40.7281,-73.9812,10009,New York
121,40.7393,-73.9817,10016,New York
122,40.7736,-73.947,10044,New York
123,40.7633,-73.9628,10065,New York
124,40.7444,-73.9754,10017,New York
125,40.7796,-73.7804,11360,Bayside
126,40.7697,-73.9581,10021,New York
127,40.7075,-74.0113,10271,New York
128,40.7264,-73.9836,10009,New York
129,40.7947,-73.9667,10162,New York
130,40.7983,-73.9416,10035,New York
131,40.7481,-73.9748,10017,New York
132,40.7993,-73.9689,10025,New York
133,40.7694,-73.9603,10021,New York
134,40.7299,-73.9819,10009,New York
135,40.7751,-73.9481,10028,New York
136,40.7922,-73.9645,10162,New York
137,40.7366,-73.9934,10011,New York
138,40.6896,-73.9527,11216,Brooklyn
139,40.7324,-74.0081,10014,New York
140,40.7412,-73.9772,10016,New York
141,40.754,-73.9678,10171,New York
142,40.7382,-73.9965,10011,New York
143,40.764,-73.98,10103,New York
144,40.7401,-74.0039,10011,New York
145,40.7481,-73.9564,11109,Long Island City
146,40.7723,-73.94800000000002,10044,New York
147,40.7681,-73.9527,10044,New York
148,40.7777,-73.9498,10028,New York
149,40.7951,-73.9676,10162,New York
150,40.6905,-73.9668,11205,Brooklyn
151,40.7612,-73.9978,10018,New York
152,40.7906,-73.9687,10162,New York
153,40.8666,-73.9217,10034,New York
154,40.7692,-73.9847,10019,New York
155,40.7075,-74.0059,10005,New York
156,40.6812,-73.9105,11233,Brooklyn
157,40.7634,-73.9596,10065,New York
158,40.7307,-73.9837,10009,New York
159,40.7242,-73.9878,10002,New York
160,40.7298,-73.9868,10003,New York
161,40.7658,-73.9781,10153,New York
162,40.7548,-73.9944,10199,New York
163,40.7437,-73.9585,11109,Long Island City
164,40.7177,-73.9984,10278,New York
165,40.76300000000001,-73.9579,10065,New York
166,40.6663,-73.9402,11213,Brooklyn
167,40.7406,-73.9822,10016,New York
168,40.755,-73.9663,10154,New York
169,40.7621,-73.9956,10018,New York
170,40.7469,-73.9803,10017,New York
171,40.7111,-73.8272,11415,Kew Gardens
172,40.7182,-74.0148,10282,New York
173,40.8217,-73.9486,10030,New York
174,40.7265,-73.9835,10009,New York
175,40.7441,-73.8792,11373,Elmhurst
176,40.7689,-73.9681,10065,New York
177,40.7032,-73.9914,11201,Brooklyn
178,40.7787,-73.9751,10023,New York
179,40.7265,-73.9851,10003,New York
180,40.7491,-73.9789,10017,New York
181,40.7793,-73.9496,10028,New York
182,40.7726,-73.926,11102,Astoria
183,40.7462,-73.9757,10017,New York
184,40.7346,-74.0018,10011,New York
185,40.7062,-74.0099,10271,New York
186,40.7704,-73.9566,10021,New York
187,40.7616,-73.9643,10065,New York
188,40.755,-73.9636,10022,New York
189,40.7588,-73.9907,10018,New York
190,40.6911,-73.9822,11201,Brooklyn
191,40.7417,-73.9806,10016,New York
192,40.7603,-73.995,10018,New York
193,40.7658,-73.9781,10153,New York
194,40.8342,-73.9427,10039,New York
195,40.7604,-73.987,10018,New York
196,40.746,-73.9754,10017,New York
197,40.7771,-73.9496,10028,New York
198,40.7412,-73.9772,10016,New York
199,40.6577,-73.9055,11212,Brooklyn
200,40.7637,-73.9846,10020,New York
201,40.7095,-74.0094,10271,New York
202,40.7425,-73.9926,10011,New York
203,40.7088,-74.0143,10006,New York
204,40.7722,-73.9606,10021,New York
205,40.7489,-73.9765,10017,New York
206,40.7274,-73.9882,10003,New York
207,40.7512,-74.0026,10199,New York
208,40.7593,-73.9962,10018,New York
209,40.753,-73.9959,10199,New York
210,40.8008,-73.9611,10026,New York
211,40.7221,-73.9837,10002,New York
212,40.731,-73.9876,10003,New York
213,40.7928,-73.9758,10162,New York
214,40.753,-73.9695,10017,New York
215,40.7302,-73.9826,10009,New York
216,40.7328,-74.0089,10014,New York
217,40.7992,-73.9674,10025,New York
218,40.7588,-73.9694,10022,New York
219,40.756,-73.9687,10154,New York
220,40.7612,-73.9978,10018,New York
221,40.7297,-73.986,10003,New York
222,40.7444,-74.0,10011,New York
223,40.742,-73.9826,10016,New York
224,40.7976,-73.968,10025,New York
225,40.7836,-73.9491,10028,New York
226,40.7868,-73.9504,10029,New York
227,40.8035,-73.9567,10026,New York
228,40.708,-74.0149,10006,New York
229,40.7803,-73.9465,10028,New York
230,40.7861,-73.9777,10023,New York
231,40.7032,-73.9914,11201,Brooklyn
232,40.7111,-74.0055,10038,New York
233,40.7356,-73.9828,10009,New York
234,40.7316,-73.9839,10009,New York
235,40.6167,-73.955,11230,Brooklyn
236,40.6503,-74.0135,11220,Brooklyn
237,40.7852,-73.9777,10023,New York
238,40.7842,-73.94800000000002,10028,New York
239,40.7633,-73.9785,10103,New York
240,40.7443,-73.9859,10001,New York
241,40.7462,-73.9757,10017,New York
242,40.6905,-73.9668,11205,Brooklyn
243,40.7087,-74.0058,10038,New York
244,40.7187,-73.9831,10002,New York
245,40.7489,-73.9732,10017,New York
246,40.7331,-74.0055,10014,New York
247,40.7299,-73.9819,10009,New York
248,40.7405,-73.9767,10016,New York
249,40.7449,-73.9812,10017,New York
250,40.7775,-73.9483,10028,New York
251,40.7974,-73.9706,10025,New York
252,40.7518,-73.9849,10110,New York
253,40.727,-74.0308,07310,Jersey City
254,40.7421,-73.9788,10016,New York
255,40.7603,-73.961,10065,New York
256,40.7752,-73.9887,10069,New York
257,40.7081,-74.0065,10271,New York
258,40.759,-73.9621,10022,New York
259,40.71,-74.0143,10006,New York
260,40.7333,-73.9796,10009,New York
261,40.7894,-73.9764,10162,New York
262,40.7427,-73.9794,10016,New York
263,40.7865,-73.9744,10023,New York
264,40.7481,-73.9564,11109,Long Island City
265,40.7033,-73.92,11237,Brooklyn
266,40.7238,-73.9902,10002,New York
267,40.7047,-74.0076,10005,New York
268,40.7466,-73.9779,10017,New York
269,40.7838,-73.9535,10028,New York
270,40.7705,-73.9485,10044,New York
271,40.7706,-73.9501,10044,New York
272,40.8441,-73.9406,10032,New York
273,40.7568,-73.9982,10199,New York
274,40.6905,-73.9668,11205,Brooklyn
275,40.753,-73.9695,10017,New York
276,40.8071,-73.9552,10027,New York
277,40.7749,-73.9782,10023,New York
278,40.6461,-73.9617,11226,Brooklyn
279,40.7318,-73.9864,10003,New York
280,40.7633,-73.9785,10103,New York
281,40.6774,-73.9583,11238,Brooklyn
282,40.7628,-73.9849,10018,New York
283,40.6621,-73.9793,11215,Brooklyn
284,40.7247,-73.9935,10012,New York
285,40.8233,-73.9532,10031,New York
286,40.7343,-74.0094,10014,New York
287,40.7632,-73.9907,10018,New York
288,40.745,-73.9863,10001,New York
289,40.7705,-73.9485,10044,New York
290,40.6493,-73.97399999999998,11218,Brooklyn
291,40.7729,-73.9485,10044,New York
292,40.7625,-73.9864,10018,New York
293,40.8222,-73.94,10030,New York
294,40.7586,-73.9838,10020,New York
295,40.8246,-73.9508,10031,New York
296,40.7805,-73.9464,10028,New York
297,40.7974,-73.9708,10025,New York
298,40.8021,-73.9392,10035,New York
299,40.6898,-73.9797,11217,Brooklyn
300,40.7334,-74.0047,10011,New York
301,40.7735,-73.9064,11105,Astoria
302,40.7771,-73.9515,10028,New York
303,40.7601,-73.99,10018,New York
304,40.7863,-73.971,10162,New York
305,40.7767,-73.9456,10028,New York
306,40.7669,-73.9344,11102,Astoria
307,40.7338,-74.0009,10011,New York
308,40.7494,-73.8801,11372,Jackson Heights
309,40.8419,-73.9377,10032,New York
310,40.7321,-74.008,10014,New York
311,40.779,-73.9461,10028,New York
312,40.7292,-73.986,10003,New York
313,40.7381,-73.992,10011,New York
314,40.7369,-73.8633,11373,Elmhurst
315,40.7222,-73.9464,11222,Brooklyn
316,40.7316,-73.9838,10009,New York
317,40.7559,-73.9658,10154,New York
318,40.7549,-73.969,10154,New York
319,40.7198,-73.9991,10278,New York
320,40.7446,-73.97399999999998,10017,New York
321,40.7826,-73.9509,10028,New York
322,40.7238,-73.9902,10002,New York
323,40.7854,-73.9752,10023,New York
324,40.7075,-74.0059,10005,New York
325,40.6736,-73.9659,11238,Brooklyn
326,40.8063,-73.9157,10454,Bronx
327,40.7538,-73.97399999999998,10167,New York
328,40.7792,-73.9514,10028,New York
329,40.7621,-73.9638,10065,New York
330,40.7785,-73.9759,10023,New York
331,40.6906,-73.9827,11217,Brooklyn
332,40.764,-73.9799,10103,New York
333,40.7073,-74.0046,10005,New York
334,40.7802,-73.9504,10028,New York
335,40.7582,-73.9622,10022,New York
336,40.7348,-73.9865,10003,New York
337,40.7409,-73.9812,10016,New York
338,40.7606,-73.9963,10018,New York
339,40.7775,-73.9536,10028,New York
340,40.7081,-74.0065,10271,New York
341,40.7616,-73.9936,10018,New York
342,40.7487,-73.9901,10001,New York
343,40.8365,-73.9441,10032,New York
344,40.7993,-73.9625,10025,New York
345,40.7635,-73.9799,10103,New York
346,40.7528,-73.9709,10017,New York
347,40.7087,-73.955,11211,Brooklyn
348,40.7346,-74.0018,10011,New York
349,40.7885,-73.9749,10162,New York
350,40.6882,-73.9615,11238,Brooklyn
351,40.7568,-73.9982,10199,New York
352,40.7756,-73.9846,10069,New York
353,40.7416,-73.9216,11104,Sunnyside
354,40.7562,-73.9964,10199,New York
355,40.8064,-73.9181,10454,Bronx
356,40.7462,-73.9757,10017,New York
357,40.7295,-73.9893,10003,New York
358,40.7619,-73.9854,10018,New York
359,40.7373,-74.0042,10011,New York
360,40.7447,-73.9774,10017,New York
361,40.7606,-73.9994,10018,New York
362,40.7084,-74.0008,10038,New York
363,40.6629,-73.9846,11215,Brooklyn
364,40.7716,-73.9812,10019,New York
365,40.7165,-73.9505,11211,Brooklyn
366,40.771,-73.9533,10044,New York
367,40.7725,-73.9819,10019,New York
368,40.7239,-73.9798,10009,New York
369,40.7787,-73.90899999999998,11105,Astoria
370,40.8309,-73.9486,10031,New York
371,40.7579,-73.9129,11103,Astoria
372,40.7284,-73.9992,10012,New York
373,40.7655,-73.9817,10103,New York
374,40.7439,-73.9971,10011,New York
375,40.7719,-73.9861,10019,New York
376,40.7847,-74.0059,07093,West New York
377,40.708,-74.0149,10006,New York
378,40.7301,-73.9927,10003,New York
379,40.7233,-73.9946,10012,New York
380,40.7602,-73.9689,10022,New York
381,40.7454,-73.9845,10001,New York
382,40.7681,-73.9563,10021,New York
383,40.7678,-73.9915,10019,New York
384,40.7401,-73.9887,10011,New York
385,40.7327,-73.9931,10003,New York
386,40.7396,-74.0035,10011,New York
387,40.6907,-73.9216,11221,Brooklyn
388,40.86,-73.9052,10453,Bronx
389,40.7972,-73.9488,10026,New York
390,40.8539,-73.9318,10034,New York
391,40.7699,-73.9488,10044,New York
392,40.7624,-73.9964,10018,New York
393,40.7404,-73.929,11104,Sunnyside
394,40.6927,-73.986,11201,Brooklyn
395,40.7658,-73.9781,10153,New York
396,40.7351,-73.97800000000002,10009,New York
397,40.7365,-73.8676,11373,Elmhurst
398,40.7988,-73.9694,10025,New York
399,40.753,-73.9958,10199,New York
400,40.7864,-73.9421,10029,New York
401,40.7976,-73.968,10025,New York
402,40.7383,-74.0006,10011,New York
403,40.7617,-73.9617,10065,New York
404,40.7297,-74.00399999999998,10012,New York
405,40.7717,-73.9518,10044,New York
406,40.7957,-73.9705,10025,New York
407,40.7401,-73.9822,10016,New York
408,40.7594,-73.9712,10022,New York
409,40.7061,-74.0111,10271,New York
410,40.8713,-73.9148,10468,Bronx
411,40.8266,-73.9398,10039,New York
412,40.7803,-73.9466,10028,New York
413,40.6661,-73.9882,11215,Brooklyn
414,40.7035,-74.0109,10271,New York
415,40.7437,-73.9851,10001,New York
416,40.7454,-73.9776,10017,New York
417,40.7192,-73.9828,10002,New York
418,40.7067,-74.0101,10271,New York
419,40.7334,-74.0047,10011,New York
420,40.7348,-73.9865,10003,New York
421,40.7779,-73.9515,10028,New York
422,40.7658,-73.9171,11103,Astoria
423,40.7638,-73.9941,10018,New York
424,40.8025,-73.9587,10026,New York
425,40.753,-73.9695,10017,New York
426,40.7723,-73.9587,10021,New York
427,40.7062,-74.0099,10271,New York
428,40.7231,-74.0044,10013,New York
429,40.7213,-73.9952,10002,New York
430,40.8247,-73.949,10031,New York
431,40.7105,-73.9532,11211,Brooklyn
432,40.8013,-73.9606,10026,New York
433,40.7104,-73.9486,11211,Brooklyn
434,40.7079,-74.0099,10271,New York
435,40.795,-73.9708,10025,New York
436,40.7748,-73.9551,10021,New York
437,40.731,-73.9831,10009,New York
438,40.8031,-73.957,10026,New York
439,40.7412,-73.9772,10016,New York
440,40.7669,-73.9621,10065,New York
441,40.7443,-73.9805,10017,New York
442,40.7463,-73.9773,10017,New York
443,40.7299,-73.9826,10009,New York
444,40.728,-73.9832,10009,New York
445,40.7676,-73.9601,10021,New York
446,40.7548,-73.9944,10199,New York
447,40.6455,-73.961,11226,Brooklyn
448,40.7689,-73.9681,10065,New York
449,40.7466,-73.9779,10017,New York
450,40.7482,-74.0051,10199,New York
451,40.7775,-73.9835,10069,New York
452,40.7334,-74.0047,10011,New York
453,40.7743,-73.9874,10069,New York
454,40.7691,-73.9857,10019,New York
455,40.7081,-74.0065,10271,New York
456,40.7652,-73.9897,10019,New York
457,40.7283,-73.9875,10003,New York
458,40.743,-73.9805,10016,New York
459,40.7989,-73.9535,10026,New York
460,40.7678,-73.9915,10019,New York
461,40.6905,-73.9668,11205,Brooklyn
462,40.7739,-73.9529,10044,New York
463,40.6692,-73.9503,11213,Brooklyn
464,40.7568,-73.9982,10199,New York
465,40.7299,-73.9819,10009,New York
466,40.7039,-73.9425,11206,Brooklyn
467,40.7593,-73.9959,10018,New York
468,40.7537,-73.9682,10171,New York
469,40.7376,-73.9738,10016,New York
470,40.7061,-74.0111,10271,New York
471,40.7331,-73.9972,10003,New York
472,40.7587,-73.9838,10020,New York
473,40.708,-74.0149,10006,New York
474,40.8404,-73.9375,10032,New York
475,40.844,-73.9414,10032,New York
476,40.7678,-73.9869,10019,New York
477,40.7295,-74.0029,10012,New York
478,40.709,-74.0169,10280,New York
479,40.7436,-73.9727,10016,New York
480,40.694,-73.9828,11201,Brooklyn
481,40.7512,-74.0026,10199,New York
482,40.74800000000001,-73.98100000000002,10110,New York
483,40.7324,-73.9875,10003,New York
484,40.7177,-73.9907,10002,New York
485,40.7806,-73.947,10028,New York
486,40.7922,-73.9645,10162,New York
487,40.7742,-73.9475,10044,New York
488,40.7073,-74.0046,10005,New York
489,40.7487,-73.9425,11101,Long Island City
490,40.8031,-73.957,10026,New York
491,40.8152,-73.9473,10030,New York
492,40.7786,-73.9478,10028,New York
493,40.7535,-73.9742,10167,New York
494,40.7559,-73.9649,10022,New York
495,40.7324,-73.9875,10003,New York
496,40.8342,-73.9427,10039,New York
497,40.778,-73.9489,10028,New York
498,40.7688,-73.9547,10044,New York
499,40.6729,-73.9822,11215,Brooklyn
500,40.7565,-73.9973,10199,New York
501,40.7203,-73.9549,11222,Brooklyn
502,40.7562,-73.9968,10199,New York
503,40.6828,-73.9525,11216,Brooklyn
504,40.7593,-73.9959,10018,New York
505,40.7369,-73.979,10009,New York
506,40.8242,-73.9527,10031,New York
507,40.7835,-73.9827,10023,New York
508,40.8226,-73.9527,10031,New York
509,40.7803,-73.9496,10028,New York
510,40.7074,-74.0069,10271,New York
511,40.7612,-73.9978,10018,New York
512,40.8221,-73.9538,10031,New York
513,40.7787,-73.9453,10028,New York
514,40.7695,-73.9603,10021,New York
515,40.6814,-73.9485,11216,Brooklyn
516,40.8441,-73.8292,10461,Bronx
517,40.7716,-73.9506,10044,New York
518,40.7988,-73.9356,10035,New York
519,40.7404,-73.9795,10016,New York
520,40.7466,-73.9788,10017,New York
521,40.7716,-73.9506,10044,New York
522,40.724,-73.9828,10009,New York
523,40.7963,-73.9625,10162,New York
524,40.7369,-73.979,10009,New York
525,40.6769,-73.9249,11233,Brooklyn
526,40.7571,-73.9673,10022,New York
527,40.6853,-73.913,11233,Brooklyn
528,40.7505,-74.0022,10199,New York
529,40.7225,-73.9925,10002,New York
530,40.7491,-73.9789,10017,New York
531,40.8234,-73.9457,10030,New York
532,40.7902,-73.9678,10162,New York
533,40.7998,-73.9609,10026,New York
534,40.7815,-73.9528,10028,New York
535,40.6889,-73.9576,11238,Brooklyn
536,40.7711,-73.9564,10021,New York
537,40.7391,-73.9964,10011,New York
538,40.7594,-73.9712,10022,New York
539,40.6258,-73.9415,11210,Brooklyn
540,40.7423,-73.98100000000002,10016,New York
541,40.7562,-73.9968,10199,New York
542,40.6754,-73.9182,11233,Brooklyn
543,40.7609,-73.986,10018,New York
544,40.7611,-73.9989,10018,New York
545,40.8163,-73.9416,10030,New York
546,40.7118,-73.8258,11415,Kew Gardens
547,40.7075,-74.0043,10005,New York
548,40.7704,-73.9566,10021,New York
549,40.7726,-73.926,11102,Astoria
550,40.7637,-73.9635,10065,New York
551,40.753,-73.9958,10199,New York
552,40.7111,-74.0055,10038,New York
553,40.7334,-74.0047,10011,New York
554,40.7277,-73.9833,10009,New York
555,40.7817,-73.9824,10023,New York
556,40.73,-73.9804,10009,New York
557,40.7592,-73.9948,10018,New York
558,40.7473,-73.9736,10017,New York
559,40.7239,-73.9947,10012,New York
560,40.6913,-73.9825,11201,Brooklyn
561,40.7984,-73.9682,10025,New York
562,40.7718,-73.9829,10019,New York
563,40.7074,-74.0069,10271,New York
564,40.7547,-73.98100000000002,10110,New York
565,40.7834,-73.9834,10023,New York
566,40.7596,-73.9926,10018,New York
567,40.6963,-73.9239,11237,Brooklyn
568,40.7307,-73.9837,10009,New York
569,40.7481,-73.97710000000002,10017,New York
570,40.7283,-73.9875,10003,New York
571,40.7553,-73.9955,10199,New York
572,40.7177,-73.9984,10278,New York
573,40.6402,-73.9567,11226,Brooklyn
574,40.8514,-73.9347,10034,New York
575,40.7568,-73.9982,10199,New York
576,40.7072,-73.967,11205,Brooklyn
577,40.7064,-74.01,10271,New York
578,40.7783,-73.9804,10023,New York
579,40.8087,-73.9598,10027,New York
580,40.7747,-73.9506,10044,New York
581,40.7632,-73.9907,10018,New York
582,40.706,-74.0086,10271,New York
583,40.7923,-73.97710000000002,10162,New York
584,40.7286,-73.8487,11375,Forest Hills
585,40.7739,-73.9528,10044,New York
586,40.7067,-74.0072,10005,New York
587,40.7688,-73.9576,10021,New York
588,40.7606,-73.9963,10018,New York
589,40.7802,-73.9444,10028,New York
590,40.7067,-74.0101,10271,New York
591,40.7767,-73.9456,10028,New York
592,40.7297,-73.9794,10009,New York
593,40.7796,-73.9528,10028,New York
594,40.7613,-73.9998,10018,New York
595,40.6764,-73.9578,11238,Brooklyn
596,40.7367,-74.0014,10011,New York
597,40.7255,-73.9798,10009,New York
598,40.708,-74.0149,10006,New York
599,40.7296,-73.9999,10012,New York
600,40.7376,-73.9938,10011,New York
601,40.7998,-73.9596,10026,New York
602,40.7959,-73.9742,10025,New York
603,40.7379,-73.9728,10016,New York
604,40.7773,-73.9478,10028,New York
605,40.764,-73.9819,10103,New York
606,40.7749,-73.9532,10044,New York
607,40.7447,-73.9782,10017,New York
608,40.7225,-73.9925,10002,New York
609,40.7951,-73.9676,10162,New York
610,40.7074,-74.0122,10006,New York
611,40.7436,-73.9727,10016,New York
612,40.7983,-73.9416,10035,New York
613,40.7604,-73.987,10018,New York
614,40.7481,-73.9748,10017,New York
615,40.7456,-73.9797,10017,New York
616,40.7344,-74.001,10011,New York
617,40.7465,-73.9767,10017,New York
618,40.7401,-73.9887,10011,New York
619,40.7766,-73.9452,10028,New York
620,40.7272,-73.9801,10009,New York
621,40.7634,-73.9638,10065,New York
622,40.7401,-73.9815,10016,New York
623,40.7461,-73.9776,10017,New York
624,40.6821,-73.9801,11217,Brooklyn
625,40.7265,-73.9851,10003,New York
626,40.7756,-73.9846,10069,New York
627,40.661,-73.9812,11215,Brooklyn
628,40.7657,-73.8194,11354,Flushing
629,40.841,-73.952,10032,New York
630,40.7286,-73.9849,10009,New York
631,40.6978,-73.9838,11201,Brooklyn
632,40.7441,-73.9964,10011,New York
633,40.7239,-73.9901,10002,New York
634,40.6775,-73.9507,11216,Brooklyn
635,40.7673,-73.968,10065,New York
636,40.7866,-73.9731,10162,New York
637,40.7622,-73.9495,11106,Astoria
638,40.7448,-73.9784,10017,New York
639,40.7993,-73.9689,10025,New York
640,40.7059,-73.8928,11385,Ridgewood
641,40.7074,-74.0076,10271,New York
642,40.7696,-73.9567,10021,New York
643,40.7297,-73.9999,10012,New York
644,40.73,-73.9864,10003,New York
645,40.7562,-73.9968,10199,New York
646,40.7128,-74.0059,10007,New York
647,40.7354,-74.0056,10014,New York
648,40.7506,-73.9713,10017,New York
649,40.7152,-73.9564,11211,Brooklyn
650,40.737,-73.9803,10009,New York
651,40.7382,-73.9918,10011,New York
652,40.7506,-73.9979,10199,New York
653,40.7768,-73.9457,10028,New York
654,40.7461,-73.9757,10017,New York
655,40.7327,-73.9933,10003,New York
656,40.7194,-73.9964,10002,New York
657,40.7254,-73.9873,10003,New York
658,40.7334,-74.0047,10011,New York
659,40.6923,-73.905,11237,Brooklyn
660,40.7316,-73.9839,10009,New York
661,40.7705,-73.9503,10044,New York
662,40.7758,-73.9566,10021,New York
663,40.7467,-73.9778,10017,New York
664,40.7056,-74.0162,10280,New York
665,40.7967,-73.9485,10026,New York
666,40.7801,-73.9544,10028,New York
667,40.7301,-73.9942,10003,New York
668,40.7442,-73.8925,11373,Elmhurst
669,40.8618,-73.9268,10034,New York
670,40.7233,-73.9915,10002,New York
671,40.7702,-73.964,10021,New York
672,40.7522,-74.0042,10199,New York
673,40.8021,-73.945,10026,New York
674,40.7765,-73.9571,10028,New York
675,40.7643,-73.9905,10018,New York
676,40.7701,-73.955,10021,New York
677,40.73,-73.9804,10009,New York
678,40.7423,-73.9995,10011,New York
679,40.7595,-73.9887,10018,New York
680,40.7456,-73.9797,10017,New York
681,40.7468,-73.9903,10001,New York
682,40.7518,-73.9944,10199,New York
683,40.8035,-73.9663,10025,New York
684,40.887,-73.9088,10463,Bronx
685,40.7279,-73.9829,10009,New York
686,40.7637,-73.9937,10018,New York
687,40.7634,-73.9638,10065,New York
688,40.7243,-74.0103,10013,New York
689,40.7364,-73.9809,10009,New York
690,40.7638,-73.994,10018,New York
691,40.764,-73.9819,10103,New York
692,40.7605,-73.9678,10022,New York
693,40.7716,-73.9506,10044,New York
694,40.7845,-73.9503,10028,New York
695,40.7327,-73.8638,11374,Rego Park
696,40.7105,-74.0134,10006,New York
697,40.7599,-73.9908,10018,New York
698,40.7647,-73.9826,10103,New York
699,40.7536,-73.9739,10167,New York
700,40.7265,-73.9851,10003,New York
701,40.7567,-73.9676,10154,New York
702,40.7266,-74.0013,10012,New York
703,40.7285,-73.861,11374,Rego Park
704,40.7878,-73.9799,10023,New York
705,40.7947,-73.9667,10162,New York
706,40.7298,-73.9817,10009,New York
707,40.6661,-73.9882,11215,Brooklyn
708,40.8206,-73.9456,10030,New York
709,40.7512,-74.0026,10199,New York
710,40.708,-74.0149,10006,New York
711,40.7568,-73.9982,10199,New York
712,40.7413,-73.9781,10016,New York
713,40.7205,-73.9793,10002,New York
714,40.7356,-73.9789,10009,New York
715,40.7587,-73.9916,10018,New York
716,40.708,-74.0149,10006,New York
